0,24,30,36,42,48,54,60,66,72,84,90,96,102,108
36,385,415,445,485,515,550,585,655,695,765,845,905,975,1045
42,405,435,475,515,535,595,630,705,745,825,905,975,1045,1100
48,420,465,500,545,590,635,675,760,800,885,975,1045,1100,1175
54,445,485,535,585,625,675,715,810,855,950,1045,1100,1175,1245
60,465,515,565,615,665,715,760,860,910,1010,1100,1175,1245,1310
66,485,540,595,645,700,755,800,915,965,1065,1175,1245,1310,1350
72,505,565,625,675,735,795,850,960,1020,1130,1245,1310,1350,1375
78,530,595,650,715,775,835,895,1015,1075,1190,1310,1350,1375,1445
84,550,615,680,745,805,875,935,1065,1130,1255,1350,1375,1445,1495
90,575,640,710,775,845,915,980,1115,1185,1315,1375,1445,1495,1550
96,595,665,735,810,885,955,1025,1165,1235,1375,1445,1495,1550,1695
102,615,695,765,845,915,995,1065,1215,1305,1445,1495,1550,1695,1795
108,640,715,795,875,955,1035,1115,1265,1345,1495,1550,1695,1795,1895
120,685,765,855,945,1025,1115,1195,1375,1455,1615,1695,1795,1895,1995
